full_name,party,elec_year,cand_id,occupation_number,occupation,original_matched_kldb_title,matched_kldb_code,isco08_code_1,isco08_code_2,isco08_code_3,isco08_code_4,isco08_code_5,list_state,list_rank,elec_district,direct_cand,list_cand,is_legislator,is_only_legislator,is_duplicated_cand
"BAUMANN, HEIDI GISELA",cdu_csu,1980,"BAUMANN, HEIDI GISELA_cdu_csu_1980_1",occ_1,hausfrau,NA,NA,NA,NA,NA,NA,NA,NW,52,NA,0,1,FALSE,FALSE,FALSE
"BAUMANN, HEINRICH JOSEF",greens,1980,"BAUMANN, HEINRICH JOSEF_greens_1980_1",occ_1,bauingenieur,bauingenieur,31104,2142,NA,NA,NA,NA,BY,27,NA,0,1,FALSE,FALSE,FALSE
"BAUMGARTEN, DR. LUDWIG",cdu_csu,1980,"BAUMGARTEN, DR. LUDWIG_cdu_csu_1980_1",occ_1,wirtschaftsreferent,NA,NA,NA,NA,NA,NA,NA,BY,44,NA,0,1,FALSE,FALSE,FALSE
"BAXMANN, ALFRED",spd,1980,"BAXMANN, ALFRED_spd_1980_1",occ_1,studienrat,NA,NA,NA,NA,NA,NA,NA,NI,70,NA,0,1,FALSE,FALSE,FALSE
"BAYER, ARMIN",cdu_csu,1980,"BAYER, ARMIN_cdu_csu_1980_1",occ_1,diplomkaufmann,NA,NA,NA,NA,NA,NA,NA,HE,54,NA,0,1,FALSE,FALSE,FALSE
"BAYHA, RICHARD",cdu_csu,1980,"BAYHA, RICHARD_cdu_csu_1980_1",occ_1,landwirt,landwirt,11102,6111,6130,NA,NA,NA,HE,10,137,1,1,FALSE,FALSE,FALSE
"BECK, ERICH",cdu_csu,1980,"BECK, ERICH_cdu_csu_1980_1",occ_1,kriminaloberkommissar,NA,NA,NA,NA,NA,NA,NA,BW,24,NA,0,1,FALSE,FALSE,FALSE
"BECKER, DR. KARL",cdu_csu,1980,"BECKER, DR. KARL_cdu_csu_1980_1",occ_1,facharzt,NA,NA,NA,NA,NA,NA,NA,HE,20,139,1,1,FALSE,FALSE,FALSE
"BECKER, DR. PAUL",fdp,1980,"BECKER, DR. PAUL_fdp_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,RP,8,NA,0,1,FALSE,FALSE,FALSE
"BECKER, GERHARD",spd,1980,"BECKER, GERHARD_spd_1980_1",occ_1,elektromeister,elektromeister,26393,3122,NA,NA,NA,NA,HE,31,NA,0,1,FALSE,FALSE,FALSE
"BECKER, GERHARD",spd,1980,"BECKER, GERHARD_spd_1980_2",occ_1,direktor einer gesamtschule,NA,NA,NA,NA,NA,NA,NA,HE,50,NA,0,1,FALSE,FALSE,TRUE
"BECKER, HANS-JUERGEN",fdp,1980,"BECKER, HANS-JUERGEN_fdp_1980_1",occ_1,soldat,soldat,01402,0310,NA,NA,NA,NA,SH,12,NA,0,1,FALSE,FALSE,FALSE
"BECKER, HELMUTH",spd,1980,"BECKER, HELMUTH_spd_1980_1",occ_1,elektroingenieur,elektroingenieur elektronik,26304,2152,2151,NA,NA,NA,NW,14,98,1,1,FALSE,FALSE,FALSE
"BECKER, WERNER",fdp,1980,"BECKER, WERNER_fdp_1980_1",occ_1,oberstudienrat,NA,NA,NA,NA,NA,NA,NA,NW,42,121,1,1,FALSE,FALSE,FALSE
"BECKER, WILLI",greens,1980,"BECKER, WILLI_greens_1980_1",occ_1,korrektor,korrektor,71442,4413,NA,NA,NA,NA,NW,9,59,1,1,FALSE,FALSE,FALSE
"BECKER-SEVERT, ANNETTE ANNA MARIA",cdu_csu,1980,"BECKER-SEVERT, ANNETTE ANNA MARIA_cdu_csu_1980_1",occ_1,studiendirektorin,NA,NA,NA,NA,NA,NA,NA,NW,89,NA,0,1,FALSE,FALSE,FALSE
"BECKMANN, HEINZ",cdu_csu,1980,"BECKMANN, HEINZ_cdu_csu_1980_1",occ_1,elektromonteur,elektromonteur,26212,7411,NA,NA,NA,NA,NW,77,NA,0,1,FALSE,FALSE,FALSE
"BECKMANN, KLAUS",fdp,1980,"BECKMANN, KLAUS_fdp_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,NW,13,90,1,1,FALSE,FALSE,FALSE
"BECKMANN, LUKAS",greens,1980,"BECKMANN, LUKAS_greens_1980_1",occ_1,soziologe geschäftsführer,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,0,FALSE,FALSE,FALSE
