term,term_count,doc_count,rank,frequency
biologin,4,4,333,3.812428516965307e-4
bundesgesundheitsamtes,4,4,334,3.812428516965307e-4
bundeskanzler,4,4,335,3.812428516965307e-4
bundestag,4,4,336,3.812428516965307e-4
büroleiter,4,4,337,3.812428516965307e-4
cdu,4,4,338,3.812428516965307e-4
coach,4,4,339,3.812428516965307e-4
designerin,4,4,340,3.812428516965307e-4
diplomvolkswirt,4,4,341,3.812428516965307e-4
dolmetscher,4,4,342,3.812428516965307e-4
dozentin,4,4,343,3.812428516965307e-4
e,4,4,344,3.812428516965307e-4
eg,4,4,345,3.812428516965307e-4
einzelhandelskaufmann,4,4,346,3.812428516965307e-4
energie,4,4,347,3.812428516965307e-4
erziehungswissenschaftlerin,4,4,348,3.812428516965307e-4
fachberater,4,4,349,3.812428516965307e-4
fachreferent,4,4,350,3.812428516965307e-4
forschung,4,4,351,3.812428516965307e-4
gartenbau,4,4,352,3.812428516965307e-4
geschäftsführender,4,4,353,3.812428516965307e-4
gesellschafter,4,4,354,3.812428516965307e-4
gewerkschaftssekretärin,4,4,355,3.812428516965307e-4
gewerkschaftsvorsitzender,4,4,356,3.812428516965307e-4
grünen,4,4,357,3.812428516965307e-4
gymnasiallehrer,4,4,358,3.812428516965307e-4
gymnasium,4,4,359,3.812428516965307e-4
hauptmann,4,4,360,3.812428516965307e-4
hotelkauffrau,4,4,361,3.812428516965307e-4
informationstechnik,4,4,362,3.812428516965307e-4
kommunikationsberater,4,4,363,3.812428516965307e-4
kommunikationswissenschaftlerin,4,4,364,3.812428516965307e-4
krankenpflegerin,4,4,365,3.812428516965307e-4
kreisbeigeordneter,4,4,366,3.812428516965307e-4
kultur,4,4,367,3.812428516965307e-4
kulturwissenschaftlerin,4,4,368,3.812428516965307e-4
landespflege,4,4,369,3.812428516965307e-4
landesvorsitzender,4,4,370,3.812428516965307e-4
landtags,4,4,371,3.812428516965307e-4
landwirtschaftsdirektor,4,4,372,3.812428516965307e-4
maschinenschlosser,4,4,373,3.812428516965307e-4
mathematikerin,4,4,374,3.812428516965307e-4
meisterin,4,4,375,3.812428516965307e-4
minister,4,4,376,3.812428516965307e-4
ministerialrätin,4,4,377,3.812428516965307e-4
ministerin,4,4,378,3.812428516965307e-4
nachrichtentechnik,4,4,379,3.812428516965307e-4
oberamtsrat,4,4,380,3.812428516965307e-4
oberst,4,4,381,3.812428516965307e-4
p,4,3,382,3.812428516965307e-4
paedagoge,4,4,383,3.812428516965307e-4
pastor,4,4,384,3.812428516965307e-4
philosoph,4,4,385,3.812428516965307e-4
philosophie,4,4,386,3.812428516965307e-4
physiotherapeut,4,4,387,3.812428516965307e-4
pol,4,4,388,3.812428516965307e-4
polit,4,4,389,3.812428516965307e-4
politikerin,4,4,390,3.812428516965307e-4
politikwissenschaft,4,4,391,3.812428516965307e-4
produktmanager,4,4,392,3.812428516965307e-4
projektmanagerin,4,4,393,3.812428516965307e-4
prokurist,4,4,394,3.812428516965307e-4
psychologie,4,4,395,3.812428516965307e-4
realschuldirektor,4,4,396,3.812428516965307e-4
referatsleiter,4,4,397,3.812428516965307e-4
ruhestand,4,4,398,3.812428516965307e-4
sachverständiger,4,4,399,3.812428516965307e-4
schlossermeister,4,4,400,3.812428516965307e-4
schriftsetzer,4,4,401,3.812428516965307e-4
sekretär,4,4,402,3.812428516965307e-4
selbstständig,4,4,403,3.812428516965307e-4
senior,4,4,404,3.812428516965307e-4
sonderschullehrer,4,4,405,3.812428516965307e-4
soziale,4,4,406,3.812428516965307e-4
sozialpaedagoge,4,4,407,3.812428516965307e-4
sozialwissenschaftlerin,4,4,408,3.812428516965307e-4
sozialökonomin,4,4,409,3.812428516965307e-4
stadtplaner,4,4,410,3.812428516965307e-4
theologin,4,4,411,3.812428516965307e-4
tischler,4,4,412,3.812428516965307e-4
trainer,4,4,413,3.812428516965307e-4
universitaetsprofessor,4,4,414,3.812428516965307e-4
unternehmens,4,4,415,3.812428516965307e-4
unternehmensberaterin,4,4,416,3.812428516965307e-4
verlagskaufmann,4,4,417,3.812428516965307e-4
verleger,4,4,418,3.812428516965307e-4
verwaltungsbetriebswirt,4,4,419,3.812428516965307e-4
verwaltungsdirektor,4,4,420,3.812428516965307e-4
verwaltungsfachangestellte,4,4,421,3.812428516965307e-4
verwaltungsfachwirt,4,4,422,3.812428516965307e-4
verwaltungswissenschaftlerin,4,4,423,3.812428516965307e-4
vors,4,4,424,3.812428516965307e-4
werbekaufmann,4,4,425,3.812428516965307e-4
wissenschaftler,4,4,426,3.812428516965307e-4
ö,4,4,427,3.812428516965307e-4
abgeordneter,3,3,428,2.85932138772398e-4
agr,3,3,429,2.85932138772398e-4
amtsgericht,3,3,430,2.85932138772398e-4
antiquar,3,3,431,2.85932138772398e-4
apotheker,3,3,432,2.85932138772398e-4
assessorin,3,3,433,2.85932138772398e-4
ausbilder,3,3,434,2.85932138772398e-4
auswärtigen,3,3,435,2.85932138772398e-4
baecker,3,3,436,2.85932138772398e-4
bankbetriebswirt,3,3,437,2.85932138772398e-4
bankkauffrau,3,3,438,2.85932138772398e-4
bauer,3,3,439,2.85932138772398e-4
baufacharbeiter,3,3,440,2.85932138772398e-4
bautechniker,3,3,441,2.85932138772398e-4
beim,3,3,442,2.85932138772398e-4
beratender,3,3,443,2.85932138772398e-4
bergingenieur,3,3,444,2.85932138772398e-4
berufsberater,3,3,445,2.85932138772398e-4
betriebsleiter,3,3,446,2.85932138772398e-4
betriebsschlosser,3,3,447,2.85932138772398e-4
bezirksbürgermeister,3,3,448,2.85932138772398e-4
bibliothekarin,3,3,449,2.85932138772398e-4
bio,3,3,450,2.85932138772398e-4
biomedizintechnik,3,3,451,2.85932138772398e-4
brigadegeneral,3,3,452,2.85932138772398e-4
buchhändler,3,3,453,2.85932138772398e-4
bwv,3,3,454,2.85932138772398e-4
bürgermeisterin,3,3,455,2.85932138772398e-4
bürokauffrau,3,3,456,2.85932138772398e-4
chemielaborant,3,3,457,2.85932138772398e-4
chirurgie,3,3,458,2.85932138772398e-4
consultant,3,3,459,2.85932138772398e-4
datenverarbeitungskaufmann,3,3,460,2.85932138772398e-4
deutschlands,3,3,461,2.85932138772398e-4
diakonin,3,3,462,2.85932138772398e-4
diplomchemiker,3,3,463,2.85932138772398e-4
diplommathematiker,3,3,464,2.85932138772398e-4
doktor,3,3,465,2.85932138772398e-4
doktorand,3,3,466,2.85932138772398e-4
dv,3,3,467,2.85932138772398e-4
einzelhandelskauffrau,3,3,468,2.85932138772398e-4
einzelhändlerin,3,3,469,2.85932138772398e-4
elektriker,3,3,470,2.85932138772398e-4
energieberater,3,3,471,2.85932138772398e-4
entwicklung,3,3,472,2.85932138772398e-4
ethnologin,3,3,473,2.85932138772398e-4
fachanwalt,3,3,474,2.85932138772398e-4
facharbeiter,3,3,475,2.85932138772398e-4
fachwirt,3,3,476,2.85932138772398e-4
feinmechaniker,3,3,477,2.85932138772398e-4
fernmeldetechniker,3,3,478,2.85932138772398e-4
finanzbeamter,3,3,479,2.85932138772398e-4
finanzbeamtin,3,3,480,2.85932138772398e-4
finanzökonomin,3,3,481,2.85932138772398e-4
fleischermeister,3,3,482,2.85932138772398e-4
frauenreferentin,3,3,483,2.85932138772398e-4
freiberufl,3,3,484,2.85932138772398e-4
gas,3,3,485,2.85932138772398e-4
gastronom,3,3,486,2.85932138772398e-4
generalsekretaer,3,3,487,2.85932138772398e-4
gesamtschuldirektor,3,3,488,2.85932138772398e-4
geschäftsleitung,3,3,489,2.85932138772398e-4
gewerkschaft,3,3,490,2.85932138772398e-4
gewerkschaftssekretaer,3,3,491,2.85932138772398e-4
grund,3,3,492,2.85932138772398e-4
grundstücks,3,3,493,2.85932138772398e-4
gärtner,3,3,494,2.85932138772398e-4
handwerksmeister,3,3,495,2.85932138772398e-4
hauptgeschäftsführer,3,3,496,2.85932138772398e-4
hauswirtschaft,3,3,497,2.85932138772398e-4
hochschulingenieur,3,3,498,2.85932138772398e-4
hotelier,3,3,499,2.85932138772398e-4
hotellerie,3,3,500,2.85932138772398e-4
industriemechaniker,3,3,501,2.85932138772398e-4
innere,3,3,502,2.85932138772398e-4
installateur,3,3,503,2.85932138772398e-4
internationale,3,3,504,2.85932138772398e-4
jugend,3,3,505,2.85932138772398e-4
jugendmedizin,3,3,506,2.85932138772398e-4
jur,3,3,507,2.85932138772398e-4
justiz,3,3,508,2.85932138772398e-4
kaufm,3,3,509,2.85932138772398e-4
kaufmaennischer,3,3,510,2.85932138772398e-4
koch,3,3,511,2.85932138772398e-4
kommunalbeamter,3,3,512,2.85932138772398e-4
kraftfahrzeug,3,3,513,2.85932138772398e-4
kriminalhauptkommissar,3,3,514,2.85932138772398e-4
kunst,3,3,515,2.85932138772398e-4
kunstwissenschaftlerin,3,3,516,2.85932138772398e-4
künstler,3,3,517,2.85932138772398e-4
landbau,3,3,518,2.85932138772398e-4
landschaftsplanung,3,3,519,2.85932138772398e-4
landtages,3,3,520,2.85932138772398e-4
lebensmittelindustrie,3,3,521,2.85932138772398e-4
lokomotivführer,3,3,522,2.85932138772398e-4
malermeister,3,3,523,2.85932138772398e-4
management,3,3,524,2.85932138772398e-4
maurermeister,3,3,525,2.85932138772398e-4
mba,3,3,526,2.85932138772398e-4
med,3,3,527,2.85932138772398e-4
medien,3,3,528,2.85932138772398e-4
mediengestalter,3,3,529,2.85932138772398e-4
mediziner,3,3,530,2.85932138772398e-4
ministerialdirigent,3,3,531,2.85932138772398e-4
ministerium,3,3,532,2.85932138772398e-4
musiker,3,3,533,2.85932138772398e-4
musikpädagoge,3,3,534,2.85932138772398e-4
notardienst,3,3,535,2.85932138772398e-4
oberkreisdirektor,3,3,536,2.85932138772398e-4
oberrat,3,3,537,2.85932138772398e-4
oberstaatsanwalt,3,3,538,2.85932138772398e-4
oberstudienraetin,3,3,539,2.85932138772398e-4
oberstudienrätin,3,3,540,2.85932138772398e-4
oec,3,3,541,2.85932138772398e-4
organisator,3,3,542,2.85932138772398e-4
paedagogin,3,3,543,2.85932138772398e-4
pds,3,3,544,2.85932138772398e-4
pensionär,3,3,545,2.85932138772398e-4
