occupation,has_domain,domain,clean_title
diplom volkswirtin,FALSE,NA,diplom volkswirtin
wissenschaftliche angestellte,FALSE,NA,wissenschaftliche angestellte
referendar,FALSE,NA,referendar
doplom volkswirt,FALSE,NA,doplom volkswirt
ausbildungsmeister,FALSE,NA,ausbildungsmeister
rechtsanwalt landwirt,FALSE,NA,rechtsanwalt landwirt
hotelkaufmann,FALSE,NA,hotelkaufmann
jurist mdb,FALSE,NA,jurist mdb
lagerist,FALSE,NA,lagerist
maschinenschlosser,FALSE,NA,maschinenschlosser
stadtschuldirektor a d,FALSE,NA,stadtschuldirektor a d
obersteiger,FALSE,NA,obersteiger
bayerischer ministerpraesident,FALSE,NA,bayerischer ministerpraesident
medizinaldirektor,FALSE,NA,medizinaldirektor
bundestagspraesident mdb,FALSE,NA,bundestagspraesident mdb
stud rer oec,FALSE,NA,stud rer oec
siebdrucker,FALSE,NA,siebdrucker
sozialpaedagogin grad,FALSE,NA,sozialpaedagogin grad
sozialwissenschaftler,FALSE,NA,sozialwissenschaftler
kriminalbeamter,FALSE,NA,kriminalbeamter
fabrikant,FALSE,NA,fabrikant
keramikerin hausfrau,FALSE,NA,keramikerin hausfrau
hausmann,FALSE,NA,hausmann
freischaffender architekt,FALSE,NA,freischaffender architekt
freiberuflicher planer,FALSE,NA,freiberuflicher planer
programmierer,FALSE,NA,programmierer
diplomtheologe diplomsoziologe,FALSE,NA,diplomtheologe diplomsoziologe
rechtsanwalt bundesminister mdb,FALSE,NA,rechtsanwalt bundesminister mdb
leitender ministerialrat a d,FALSE,NA,leitender ministerialrat a d
gaertner,FALSE,NA,gaertner
volkshochschuldirektor,FALSE,NA,volkshochschuldirektor
stadtdirektor a d,FALSE,NA,stadtdirektor a d
hauptgeschaeftsfuehrer mdb,FALSE,NA,hauptgeschaeftsfuehrer mdb
bibliothekarsinspektor anwaerterin,FALSE,NA,bibliothekarsinspektor anwaerterin
oberlehrer i r,FALSE,NA,oberlehrer i r
fachhochschulprofessor,FALSE,NA,fachhochschulprofessor
studienreferendar,FALSE,NA,studienreferendar
regierungsvizepraesident a d,FALSE,NA,regierungsvizepraesident a d
akademischer rat a d mdb,FALSE,NA,akademischer rat a d mdb
diplomchemiker,FALSE,NA,diplomchemiker
flugmotorenschlosser,FALSE,NA,flugmotorenschlosser
personalleiter,FALSE,NA,personalleiter
bankangestellte i r,FALSE,NA,bankangestellte i r
bankangestellter,FALSE,NA,bankangestellter
tierarzt,FALSE,NA,tierarzt
elektroingenieur,FALSE,NA,elektroingenieur
ministerialbeamter,FALSE,NA,ministerialbeamter
elektromeister,FALSE,NA,elektromeister
steuerberaterin,FALSE,NA,steuerberaterin
laborant,FALSE,NA,laborant
maschinenschlosser mdb,FALSE,NA,maschinenschlosser mdb
universitaetsprofessorin,FALSE,NA,universitaetsprofessorin
rundfunkredakteur diplom landwirt,FALSE,NA,rundfunkredakteur diplom landwirt
fernmelder,FALSE,NA,fernmelder
fremdsprachenassistentin,FALSE,NA,fremdsprachenassistentin
diplom paedagoge mdb,FALSE,NA,diplom paedagoge mdb
landwirtschafts oberrat,FALSE,NA,landwirtschafts oberrat
leiter des staedtischen fuhrparks regensburg,FALSE,NA,leiter des staedtischen fuhrparks regensburg
selbstaendiger diplom ingenieur,FALSE,NA,selbstaendiger diplom ingenieur
ministerialdirigent,FALSE,NA,ministerialdirigent
landesgeschaeftsfuehrer mdb,FALSE,NA,landesgeschaeftsfuehrer mdb
werkzeugmacher mdb,FALSE,NA,werkzeugmacher mdb
major,FALSE,NA,major
diplom sozialarbeiter,FALSE,NA,diplom sozialarbeiter
tieraerztin,FALSE,NA,tieraerztin
schreinermeister,FALSE,NA,schreinermeister
friedensforscher,FALSE,NA,friedensforscher
bauleiter,FALSE,NA,bauleiter
offsetmontierer,FALSE,NA,offsetmontierer
diplom informatiker,FALSE,NA,diplom informatiker
soldat a d,FALSE,NA,soldat a d
richter a d mdb,FALSE,NA,richter a d mdb
lagerarbeiter,FALSE,NA,lagerarbeiter
ministerialdirektor a d,FALSE,NA,ministerialdirektor a d
agrar ingenieur,FALSE,NA,agrar ingenieur
beigeordneter,FALSE,NA,beigeordneter
vorsitzender richter,FALSE,NA,vorsitzender richter
bundesminister fuer arbeit sozialordnung,FALSE,NA,bundesminister fuer arbeit sozialordnung
diplom chemikerin hausfrau,FALSE,NA,diplom chemikerin hausfrau
architekt baubiologe,FALSE,NA,architekt baubiologe
oberregierungsrat a d mdb,FALSE,NA,oberregierungsrat a d mdb
kaufmann pharma referent,FALSE,NA,kaufmann pharma referent
geschaeftsmann hausmann,FALSE,NA,geschaeftsmann hausmann
drucker,FALSE,NA,drucker
musiker,FALSE,NA,musiker
krankenschwester,FALSE,NA,krankenschwester
hotelkauffrau hausfrau,FALSE,NA,hotelkauffrau hausfrau
fliesenlegermeister,FALSE,NA,fliesenlegermeister
diplom soziologin,FALSE,NA,diplom soziologin
fachhochschullehrer,FALSE,NA,fachhochschullehrer
