occupation,original_occupation,matched_kldb_code,matched_kldb_title,original_matched_kldb_title,similarity_score
köchin,köchin,29302,teilkoch köchin,teilkoch köchin,0.9983364
ö b undv,ö b undv,54142,sieb nig,siebreiniger,0.9983357
professor mitte chemie,professor lebensmittelchemie,41283,bachelor chemie,bachelor of science biochemie,0.998334
freis cha fender,freischaffender maler,63301,bars cha gehilfe,barschankgehilfe gehilfin,0.9983337
vorsitz ken burg,vorsitzender des dgb kreises starkenburg,94383,vortrag meister,vortragsmeister,0.99833196
persönliche referentin,persönliche referentin,84404,bildung referentin,bildungsreferentin,0.9983311
landes parteivorsitzender,landesparteivorsitzender,73184,prozess vertreter,prozessvertreter,0.9983311
polizei beamter,polizeibeamter,94114,polizei musikerin,polizeimusikerin,0.9983303
ziegelei besitz,ziegeleibesitzer,94342,schaubude besitz,schaubudenbesitzer,0.9983287
richter gericht hof,richter am bundesgerichtshof,81214,gericht medizinerin,gerichtsmedizinerin,0.99832827
leitender bankangestellter,leitender bankangestellter,72112,bankangestellte,bankangestellte r,0.9983225
selbständig berater,selbständig berater,83383,telefon seelsorger,telefonseelsorger,0.99832207
bevollmächtigter,bevollmächtigter,73184,prozessbevollmächtigte,prozessbevollmächtigte r,0.9983195
studie rätin,studienrätin,43384,fehler analystin,fehleranalystin edv,0.9983176
film schaf fender,filmschaffender,11211,schaf zucht helferin,schafzuchthelferin,0.99831754
auszubildender,auszubildender,84223,ausbilder referent,ausbilder pharmareferenten innen,0.99831575
ministerium,ministerium des innern,33212,baum,baumaler,0.9983154
stiftungsvorstand,stiftungsvorstand,84404,schulung ingenieur,schulungsingenieur,0.99831504
freiberuf beraterin,freiberufliche unternehmensberaterin,83154,freizeit beraterin,freizeitberaterin,0.99831474
freier vertreter,freier handelsvertreter,72133,versicherung abschluss vertreter,versicherungsabschlussvertreter,0.9983147
selbständig fach berater leistung,selbständig fachberater finanzdienstleistungen,73184,wirt schaft rechtssachverständige,wirtschaftsrechtssachverständige r,0.99831444
landes regierung,landesregierung mecklenburg vorpommern,27223,projektierung konstrukteur,projektierungskonstrukteur,0.99831367
schuelerin,schuelerin,81752,heilerin,heilerin,0.9983129
amt rat,amtsrat notardienst,73201,amt,amtswart,0.99831086
referent ch tag,referent deutschen bundestag,29232,innerei ch,innerei fleischer,0.9983098
selbständig bäcker meister,selbständig bäckermeister,29222,kuchen bäckerin,kuchenbäckerin,0.9983074
ober studie rätin,oberstudienrätin,71214,minister präsi dentin,ministerpräsidentin,0.9983052
kand med dent,kand med dent,61204,handel wirt,handelswirt hochschule,0.99830234
philosophie,philosophie,53322,hygiene,hygiene assistent,0.9983023
sonderschulpädagogin,sonderschulpädagogin,83112,vorschulpädagoge pädagogin,vorschulpädagoge pädagogin,0.99830014
diplom graf,diplom geografin,31114,diplom architekt,diplomarchitekt uni,0.99829906
altenpflege fachkraft,altenpflegefachkraft,72212,buch führung fachkraft,buchführungsfachkraft,0.9982985
diplom anis,diplom germanist,22193,meister anis werk,meister vulkaniseurhandwerk,0.99829847
med veterinär,med veterinär,81142,veterinär gehilfe,veterinärgehilfe gehilfin,0.9982965
selbständig vers run makler,selbständig versicherungsmakler,23212,schrift setzer technik,schriftsetzer montagetechnik,0.99829584
wohnung wesen,wohnungswesen,24422,anlage schweiß,anlagenschweißer,0.9982936
selbständig diplom pädagoge,selbständig diplom pädagoge,83134,rehabilitation pädagoge,rehabilitationspädagoge pädagogin,0.9982876
diplom mitte technologie,diplom ing lebensmitteltechnologie,41213,bachelor technologie,bachelor of science biotechnologie,0.99828726
strategie referent,strategiereferent,71314,organisation referent,organisationsreferent,0.9982867
koch,koch,29302,kochs,kochsteward stewardess,0.9982865
sparkasse,sparkassen kauffrau,72194,sparkasse leiter,sparkassenleiter,0.9982863
selbstaendiger aussenhand ska mann,selbstaendiger aussenhandelskaufmann,72113,ausland kunde berater,auslandskundenberater bank,0.99827987
bezirk jugend referent,bezirksjugendreferent,61194,bezirk leiterin,bezirksleiterin,0.99827963
bunde polizist,bundespolizist,53213,bord polizist,bordpolizist geh dienst,0.9982786
diplom uri,diplom ingenieurin,31114,diplom architekt,diplomarchitekt uni,0.9982757
vors richter am fg,vors richter am fg,11222,gans zucht,gänsezüchter,0.9982753
forst beamter,forstbeamter,26312,beamter,beamter beamtin fernmeldeaufklärung mittl dienst,0.9982733
selbstschr eibe uri,selbstschreibende redakteurin,24212,schr feder macherin,schraubenfedermacherin,0.9982731
selbständig unternehmens,selbständig unternehmens,71303,bachelor wirtschaftslehre,bachelor of arts betriebswirtschaftslehre,0.9982695
leitender beamter post,leitender beamter post,26312,beamter ische,beamter beamtin elektronische aufklärung mittl dienst,0.9982689
regierung beamter,regierungsbeamter,53124,technische beamter,technische r aufsichtsbeamter,0.9982674
bahnangestellter,bahnangestellter,71402,parteiangestellte,parteiangestellte r bürokraft,0.9982607
konvers ion beau,konversionsbeauftragter,92113,konzept ion text,konzeptionstexter werbung,0.9982606
freie autorin,freie autorin,92413,technische autorin,technische r fachautorin,0.9982586
rechtsrefendar,rechtsrefendar,22202,einbren lackiererin,einbrennlackiererin,0.998257
abgeordnetenmitarbeiterin,abgeordnetenmitarbeiterin,71402,abgeordnetenassistentin,abgeordnetenassistentin,0.9982566
kuenstlerin,kuenstlerin,94283,trapez künstlerin,trapezkünstlerin,0.99825597
polizei beamtin,polizeibeamtin,23122,papi stanzer,papierstanzer,0.99825454
politologin,politologin,94184,repetitorin,repetitorin,0.998253
selbständig dip ingenieur,selbständig diplom gartenbauingenieur,61124,vertriebs ingenieur techno,vertriebsingenieur brauwesen getränketechnol,0.99825233
masgf,masgf,93412,topf,töpfer,0.9982435
schreinergeselle,schreinergeselle,24422,br schneiderin,brennschneiderin,0.99824
selbständig hand werk,selbständig handwerker,23293,meisterin setzer hand werk,meisterin schriftsetzerhandwerk,0.9982397
selbständig vers run,selbständig versicherungs,29222,versuchs bäckerin,versuchsbäckerin,0.9982376
kreis baurat,kreisbaurat,22102,kunst stoff dreher,kunststoffdreher,0.9982372
beamtin,beamtin a d,26312,beamter ische,beamter beamtin elektronische aufklärung mittl dienst,0.99823654
philologe,philologe,81444,androloge,androloge andrologin,0.9982359
angestellter dfg vk,angestellter dfg vk,91342,fachangestellte alf,fachangestellte r markt sozialforschung,0.99823517
assessor fach,assessor des bergfachs,81213,fach assistent ische,fachassistent medizinische chemie,0.9982321
amt sa walt,amtsanwalt,84124,lehramt sa wart,lehramtsanwärter,0.9982319
amt mann,amtmann notardienst,73201,amt,amtswart,0.9982283
ev pfarrer,ev pfarrer,83314,dom pfarrer,dompfarrer,0.99822706
diplom port lehrer,diplomsportlehrer,81733,stim lehrer,stimmlehrer,0.9982234
selbstaendige kauffrau,selbstaendige kauffrau,72113,finanzierung sachbearbeiter,finanzierungssachbearbeiter,0.9982226
kriminalbeamter,kriminalbeamter,26312,beamter ische,beamter beamtin elektronische aufklärung mittl dienst,0.9982207
vorsitz,vorsitzender richter am lg a d,84223,ausbilder,ausbilder,0.99822056
landesvorsitzender,landesvorsitzender,72113,finanzierung sachbearbeiter,finanzierungssachbearbeiter,0.99821615
kauffrau,kauffrau,94214,schauspiel,schauspieler,0.9982149
po ober inspektor,postoberinspektor,72133,ober inspektor run,oberinspektor versicherung,0.99821234
silikat technik,silikattechniker,41213,labor technik,labortechniker biologie,0.99820966
diözesan sekretär,diözesansekretär,73154,diözesan richterin,diözesanrichterin,0.998208
kirch,kirchlicher angestellter,34202,feinblech,feinblechner,0.99820733
technischer fernmeldeinspektor,technischer fernmeldeinspektor,26312,fernmeldeleitung bauer,fernmeldeleitungsbauer,0.9982073
general kreta,generalsekretaer,25213,technik zeug,techniker fahrzeugbau,0.9982064
selbstständiger immob mann,selbstständiger immobilienkaufmann,34393,anlage bauer meisterin,anlagenbauermeisterin,0.9982
fach ärztin heilkunde,fachärztin kinderheilkunde,81444,hno arzt ärztin,hno arzt ärztin,0.99819475
sonde ire,sonderschuldirektor,26252,anlage elektronikerin,anlagenelektronikerin,0.9981934
polizei kommissar,polizeikommissar,72132,havarie kommissar,havariekommissar,0.9981916
ober amt sa walt,oberamtsanwalt,63393,ober aal tochter,obersaaltochter,0.9981914
parlament tag,parlamentarischer berater landtag,82183,gero tag tag,gerontagoge gerontagogin,0.9981876
diplom alp,diplom sozialpädagogin,53112,person alp,personalpförtner,0.9981861
diplom uri mitte industrie,diplom ingenieurin lebensmittelindustrie,29201,helfer mitte industrie,helfer lebensmittelindustrie,0.99818444
kreisbeigeordneter,kreisbeigeordneter,71214,landtagsabgeordnete,landtagsabgeordnete r,0.99818283
d fina zen,d finanzen,24522,stan zen schlosserin,stanzenschlosserin,0.99818265
leitender run direktor,leitender regierungsdirektor,72194,sub direktor run,subdirektor versicherung,0.99818003
stande beamter,standesbeamter,26312,beamter ische,beamter beamtin elektronische aufklärung mittl dienst,0.99817944
duale studentin,duale studentin,93532,ziseleurin,ziseleurin,0.9981789
freiberuf,freiberuflich,24432,beruf taucher,berufstaucher,0.9981733
selbstständige einzel handelskauf frau,selbstständige einzelhandelskauffrau,62212,einzel handelskauf mann artikel,einzelhandelskaufmann frau sportartikel,0.99817216
univertätsprof esso,univertätsprofessor i r,24411,löterhelfer,löterhelfer,0.9981716
gaertner,gaertner,24302,vermessinger,vermessinger,0.99816775
selbständig gesc führerin,selbständig geschäftsführerin,51321,gepäck trägerin,gepäckträgerin,0.9981643
rad profi,radprofi,93213,objekt richterin,objekteinrichterin,0.99816227
lehramt student,lehramtsstudent,72133,rechtschut fach mann,rechtschutzfachmann frau,0.9981622
lied autor,liederautor,92434,autor tell,autor schriftsteller,0.9981617
magister cha,magister politkwissenschaften,82214,magister,magister magistra public health,0.99815935
selbständig eve manager,selbständig eventmanager,29193,tenne meister,tennenmeister,0.9981501
geschätsführer,geschätsführer,63294,betriebs wirtin triebs,betriebswirtin hotelbetriebs u hotelmanag hochschule,0.9981463
senat sa gestell,senatsangestellte,25122,maschinist sa lage,maschinist mechanisierungsanlagen,0.9981394
ökologin,ökologin,81212,mykologie,mykologie assistent,0.9981345
zerspanungs fa,zerspanungs fa,24232,zerspanerin,zerspanerin,0.9981332
pers referent,pers referent,61213,export referent,exportreferent,0.99813306
freiberufler,freiberufler,91104,sprachwissenschaftler,sprachwissenschaftler,0.99813306
diplom login,diplom theologin,41284,gent loge login,gentechnologe technologin,0.99813277
restaurant fach frau,restaurantfachfrau,43112,dv kaufmann frau,dv kaufmann frau,0.9981325
selbständig pr beraterin,selbständig pr beraterin,11794,gemeinde revier försterin,gemeinderevierförsterin,0.9981298
erster land beamter,erster landesbeamter,53194,abteilung leiterin gewerbe,abteilungsleiterin wach u sicherheitsgewerbe,0.99812907
diplom mike,diplom chemikerin,41384,pol mike,polymerchemiker,0.99812716
technischer lehrer,technischer lehrer,84214,technische r lehrer,technische r lehrer,0.9981256
immobilie verwalter,immobilienverwalter,94623,requisite verwalter,requisitenverwalter,0.99812317
regierung inspektor wart,regierungsinspektoranwärter,26232,kraftanlage wart,kraftanlagenwärter,0.998121
leitende bewährun helferin,leitende bewährungshelferin,83131,heilerziehung helferin,heilerziehungshelferin,0.99812
koordina tor ion,koordinator kommunikation,73284,bea ion,beamt er internationale organisationen höh dienst,0.99811727
vors richter am vg,vors richter am vg,94623,kleid kamm verwalterin,kleiderkammerverwalterin,0.99811655
po botin,postbotin,23212,po ch,positivretuscheur,0.99811345
sozialdezernentin,sozialdezernentin,33393,bauaufseherin,bauaufseherin glasbau fensterbau,0.998112
sozialamt mann,sozialamtmann,61313,fach kaufmann eigentum,fachkaufmann frau verwaltung wohnungseigentum,0.9981119
kommunales,kommunales,53322,hygiene,hygiene assistent,0.9981105
logopädin,logopädin,81733,logopäde,logopäde logopädin,0.99810785
kulturschaffende,kulturschaffende,25134,beratende r ingenieur,beratende r ingenieur,0.99810153
apparatebau,apparatebau,21323,glas apparatebau technik,glasapparatebautechniker,0.99810153
selbständig ingenieur,selbständig ingenieur,28193,seiler meister,seilermeister,0.99809986
it unternehmer,it unternehmer,51694,fuhr unternehmer,fuhrunternehmer,0.99809647
diplom soziologe,diplomsoziologe,91324,betriebs soziologe,betriebssoziologe soziologin,0.9980957
selbständig fahr lehrer,selbständig fahrlehrer,84583,segel lehrer assistent,segellehrerassistent,0.99809563
physik mike,physiko chemiker,41484,physikerin ron omi physik,physikerin astronomie astrophysik,0.99809515
landesvorstand,landesvorstand johanniter unfall hilfe e v,73113,anwalt büro vorsteher,anwaltsbürovorsteher,0.9980941
regierung direktorin,regierungsdirektorin,27394,werk direktorin,werkdirektorin,0.99809223
juni ines,junior business development managerin,43113,e bus ines,e business ökonom vwa,0.9980889
selbständig buch,selbständig buch,72123,börse händler,börsenhändler,0.99808884
bronze,bronzegiesser,41213,biologie technik,biologietechniker,0.9980845
haus frau,hausfrau,81444,frau arzt,frauenarzt ärztin,0.9980778
diplom ökologin,diplom geoökologin,11723,land schaft ökologie technik,landschaftsökologietechniker,0.9980755
freiberuf entwickler,freiberufl webentwickler,43413,anwendung entwickler,anwendungsentwickler,0.99807405
selbständig kauffrau,selbständig kauffrau,62252,möbel kaufmann handel,möbelkaufmann frau einzelhandel,0.99807346
zweiter,zweiter,28112,pauser,pauser,0.9980732
aussendienstmitarbeiter,aussendienstmitarbeiter,61123,außendienst mitarbeit,außendienstmitarbeiter,0.9980728
kultur veranstalter,kulturveranstalter,28193,textilgestalter meisterin,textilgestaltermeisterin,0.9980727
selbständig organ beraterin,selbständig organisationsberaterin,83383,telefon seelsorger,telefonseelsorger,0.9980715
diplom eutin,diplom kunsttherapeutin,81733,stim eutin,stimmtherapeutin,0.9980676
selbständig drucker,selbständig drucker,23293,drucker setzer meisterin,drucker und schriftsetzermeisterin,0.9980673
invalidenrentner,invalidenrentner,63302,servierkellner,servierkellner,0.99806505
sinologin,sinologin,71432,stenografin,stenografin,0.99806035
beamter schaft ministerium,beamter wirtschaftsministerium,94623,theater fundus verwalterin,theaterfundusverwalterin,0.9980601
regierung amt mann,regierungsamtmann,29193,land wirt schaft meisterin,landwirtschaftliche r brennmeisterin,0.9980578
oekologe,oekologe,82284,oekotrophin,oekotrophin,0.9980549
sozialversicherungsangestellte,sozialversicherungsangestellter,72132,kran ken versicherungsangestellte,krankenversicherungsangestellte r,0.99805355
csu bund wahl kreis geschäft fuhr,csu bundeswahlkreisgeschäftsführer,63404,stiftung geschäft fuhr management,stiftungsgeschäftsführer kulturmanagement,0.9980524
staedtisch rat,staedtischer verwaltungsrat a d,11412,zierfisch zucht,zierfischzüchter,0.9980512
regierung ober rat,regierungsoberrat,63293,reservierung leiterin,reservierungsleiterin hotel,0.99805045
berg rat,bergrat,71214,stadt rat,stadtrat rätin,0.9980492
amt direktorin,amtsdirektorin,83194,caritas direktorin,caritasdirektorin,0.9980469
diplom politologin,diplompolitologin,71433,parlament stenografin,parlamentsstenografin,0.9980468
bunde umwelt minister,bundesumweltminister a d,42314,umwelt referentin,umweltreferentin,0.99804527
theo login,theologin,83314,theo loge login,theologe theologin,0.99804425
parlament rat,parlamentsrat,71594,person aldi rektor,personaldirektor,0.9980412
regierung ober amt rat,regierungsoberamtsrat,12143,fach agrar wirt sanierung,fachagrarwirt baumpflege und baumsanierung,0.9980364
krimi kommissar,kriminialoberkommissar a d,53213,sicherheit kommissar,sicherheitskommissar polizei,0.99803525
pate esso,patentassessor,84394,direktor esso,direktor und professor,0.99803233
schweisser,schweisser,24422,mag schweißer,mag schweißer,0.9980319
freier ali,freier journalist,24422,feinlöter,feinlöter,0.99803144
senior consultant,senior consultant,43224,it consultant,it consultant,0.9980308
geschaeftsfuehrender gesellschafter,geschaeftsfuehrender gesellschafter,73184,wirt schaft rechtssachverständige,wirtschaftsrechtssachverständige r,0.99802446
technischer fernmeldesekretaer,technischer fernmeldesekretaer,26312,fernmeldeelektroniker,fernmeldeelektroniker,0.9980232
gefahrgutbeauftragter,gefahrgutbeauftragter,51583,gefahrgutbeauftragte,gefahrgutbeauftragte r,0.9980227
mitglieg des deut ch tages,mitglieg des deutschen bundestages,63294,betriebs wirtin triebs,betriebswirtin hotelbetriebs u hotelmanag hochschule,0.998022
krim ina lob rat,kriminaloberrat,22352,palm blatt korb macherin,palmblattkorbmacherin,0.9980214
edv vertriebs beau,edv vertriebsbeauftragter,61194,vertriebs chef,vertriebschef,0.9980213
volk hochschulangestellter,volkshochschulangestellter,84494,volk hochschulleiter,volkshochschulleiter,0.99802065
migrant beau,migrantenbeauftragte,84304,forschung beau,forschungsbeauftragte r,0.9980186
integrationsbeauftragte,integrationsbeauftragte,11294,betriebs leiterin zucht,betriebsleiterin tierzucht,0.9980174
stellv,stellv,51543,kanal lot,kanallotse lotsin,0.9980174
senior fond manager,senior fondsmanager,72124,fond manager,fondsmanager,0.99801624
fina zen,finanzen,12122,rose,rosenveredler,0.99801534
selbständig it berater,selbständig it berater,43224,it berater,it berater,0.9980111
freiberuf redner,freiberuflicher trauerredner,84503,freizeit port trainerin,freizeitsporttrainerin,0.99800974
elektoing uri,elektoingenieurin,92413,fach uri,fachredakteurin,0.9980073
tüv gutachter,tüv gutachter,11412,aal brut züchterin,aalbrutzüchterin,0.9980066
verlagsangestellte,verlagsangestellter,73282,verwaltungsangestellte werk organ,verwaltungsangestellte r mittl dienst handwerksorganis,0.9980036
ärztin,ärztin,84404,dozentin,dozentin erwachsenenbildung,0.9979981
polizei direktor,polizeidirektor,84294,polizei schulrektor,polizeischulrektor,0.997992
richter patentgericht,richter am bundespatentgericht,81214,gericht medizinerin,gerichtsmedizinerin,0.99798894
stadtangestellte,stadtangestellter,72244,zahlstelle prüferin,zahlstellenprüferin,0.9979867
ausland report,auslandsreporter,11182,grünland wirtin,grünlandwirtin,0.9979847
freiberuf rat,freiberufliche moderatorin,84583,beruf lehrer port,berufsfahrlehrer pferdesport,0.9979811
z zt haus frau,z zt hausfrau,25212,pitmann frau kfz,pitmann frau kfz,0.9979737
leitende angestellte hotellerie,leitende angestellte hotellerie,73252,justiz fachangestellte,justizfachangestellte r,0.9979726
regierungsbeschäftigte,regierungsbeschäftigte,53393,schädlingsbekämpfer meister wirt schaft,schädlingsbekämpfermeister nicht landwirtschaft,0.99797136
angestellter großhandel,angestellter großhandel,91342,fachangestellte alf,fachangestellte r markt sozialforschung,0.9979684
selbstständiger rechtsan walt,selbstständiger rechtsanwalt,25214,gerichtssachverständige zeug wesen,gerichtssachverständige r kraftfahrzeugwesen,0.9979676
notar gehilfin,notargehilfin,28322,kummet macherin,kummetmacherin,0.9979662
diplom ch,diplom dolmetscherin,31114,diplom architekt,diplomarchitekt uni,0.997966
brand burg,brandenburg,51393,tran port,transport aufsicht,0.99796385
promo re,promovierende,72124,credit folio,credit portfolio manager,0.9979607
jura student,jurastudent,32263,meli ion ingenieur,meliorationsingenieur fs,0.99795455
selbständig pr berater,selbständig pr berater,22102,schäumer kunst stoff,schäumer kunststoff,0.99795336
bundestag,bundestags,11713,bunde försterin,bundesförsterin geh dienst,0.9979528
handel studie direktor,handelsstudiendirektor a d,84394,institut direktor,institutsdirektor,0.9979515
freiberuf autor,freiberuflicher fachautor,84404,beruf bildung referent,berufsbildungsreferent,0.9979503
rechtsreferendar,rechtsreferendar,73184,rechtsreferent,rechtsreferent kammern verbände,0.9979491
werttansporteur,werttansporteur,27223,elektro technik konstrukteur,elektrotechnikkonstrukteur,0.9979486
studi re,studierende,72234,medizin controller,medizincontroller,0.9979471
frakt ion,fraktionsgeschaeftsfuehrerin,51311,transporteur,transporteur,0.99794185
theologie student,theologiestudent,81222,audiologie assistent,audiologieassistent,0.9979412
regierung beraterin bekämpfung,regierungberaterin armutsbekämpfung,21342,facette polier bearbeitung,facettenpolierer glasbearbeitung,0.9979383
freiberuf ali,freiberufliche journalistin,71524,eures beruf beraterin,eures berufsberaterin,0.9979333
kriminalbeamtin,kriminalbeamtin,71432,kur eibe,kurzschreiber,0.99793273
keine angaben,keine angaben,25133,anwendung technik,anwendungstechniker,0.99793243
regierung rätin,regierungsrätin,72132,regulierung beau run,regulierungsbeauftragte r versicherung,0.99793065
werbe und mark ing fach mann,werbe und marketingfachmann,26312,produkt ion fach arbeit ente,produktionsfacharbeiter nachrichtentech geräte anlag,0.9979306
vorsorgeberater,vorsorgeberater,83123,sozialfürsorge,sozialfürsorger,0.997928
kreis jugendwart,kreisjugendwart,83194,jugendheim leiter,jugendheimleiter,0.99792653
selbstständiger diplom ökonom,selbstständiger diplom ökonom,11104,agrar ingenieur ökonom,agraringenieurökonom,0.99792105
fdp nrw,fdp nrw,23213,dtp layouter,dtp layouter,0.9979196
krim ina kommissar,kriminalhauptkommissar,53223,kommissar,kommissar polizei,0.9979194
regierung direktor,regierungsdirektor a d,72194,bank direktor,bankdirektor,0.99791265
selbständig elektro,selbständig elektro,28122,seide stoff web,seidenstoffweber,0.9979083
des innern,des innern,94283,statistin,statistin,0.99790686
miglied ch tages,miglied des deutschen bundestages,83112,hort erzieher,horterzieher,0.9979061
zoll beamter,zollbeamter,26312,beamter,beamter beamtin fernmeldeaufklärung mittl dienst,0.9979049
selbständig gart technik,selbständig gartenbautechniker,23212,schrift setzer technik,schriftsetzer montagetechnik,0.99790126
stukkateurmeister,stukkateurmeister,93293,chef dekorateur,chefdekorateur,0.9978948
pensionär,pensionär,71224,funktionärin,funktionärin,0.99789244
kommunalreferent,kommunalreferent,61123,kommunalb rat,kommunalberater,0.9978895
selbständig dolm ch,selbständig dolmetscherin,52532,turm kran führerin,turmdrehkranführerin,0.9978893
selbstständiger berater,selbstständiger berater,83154,fürsorge berater,fürsorgeberater,0.9978887
lehramt sa,lehramtsanwaerter,11102,land wirt,landwirt,0.9978837
sozi alfa cha tell,sozialfachangestellter,91384,sozi alg ron,sozialgerontologe gerontologin,0.99788296
umschüler,umschüler,24422,vorschweißer,vorschweißer,0.9978825
hebamme,hebamme,81352,hebamme helfer,hebammenhelfer,0.9978788
selbstständiger verleger,selbstständiger verleger,92394,zeitschrift verleger,zeitschriftenverleger,0.9978714
rechtspflege anwärterin,rechtspflegeanwärterin,24232,automat einrichterin ben,automateneinrichterin spangebende formung,0.99786943
werber,werbereferentin,61123,kunde werber,kundenwerber,0.9978692
geschaeftsmann,geschaeftsmann,11102,acker wirt,ackerwirt,0.99786806
regierung rat,regierungsrat,72132,regulierung beau run,regulierungsbeauftragte r versicherung,0.9978676
regierung amt rat,regierungsamtsrat,63194,verkehrs amt direktorin,verkehrsamtsdirektorin,0.99786717
technischer angestellter,technischer angestellter,73312,fachangestellte,fachangestellte r archiv,0.99785906
selbständig hand ska mann,selbständig handelskaufmann,23293,meister setzer hand werk,meister schriftsetzerhandwerk,0.99785614
altenhilfe referent,altenhilfereferent,81301,heilgehilfe,heilgehilfe heilgehilfin,0.9978477
diplom bio login,diplombiologin,41204,bio loge login,biologe biologin,0.9978476
krimi login,kriminologin,41284,gent loge login,gentechnologe technologin,0.99784726
verantwortung,verantwortung,71402,date verarbeiter,datenverarbeiter,0.99784535
selbstaendiger unternehmer,selbstaendiger unternehmer,53194,bergung unternehmerin,bergungsunternehmerin,0.99784505
gewerkschaft,gewerkschafter,71224,gewerk schaft funktionär,gewerkschaftsfunktionär,0.9978414
pr jour ali,pr journalistin,23223,multi dia gestalterin,multimediagestalterin,0.99784005
selbstständiger fina makler,selbstständiger finanzmakler,93493,meister ella maler hand werk,meister porzellanmalerhandwerk,0.99783957
selbständig tour mus beraterin,selbständig tourismusberaterin,25182,seilbahn schlosserin,seilbahnschlosserin,0.9978353
direktor eris ch verb,direktor bayerischen bauernverband,73154,diözesan richterin,diözesanrichterin,0.99783313
leitender ministerialrat,leitender ministerialrat,52202,rangie lok führerin,rangierlokomotivführerin,0.99783254
pressenf ahr,pressenfahrer,11102,acker wirt,ackerwirt,0.9978318
freiberuflerin,freiberuflerin,94243,beruf sportler,berufssportler,0.99783105
zweiter realschulkonrektor,zweiter realschulkonrektor,84194,realschulrektor,realschulrektor,0.9978291
frau ärztin,frauenärztin,29222,holz ofen bäckerin,holzofenbäckerin,0.9978289
nachhaltigkeit beraterin,nachhaltigkeitsberaterin,63143,gast fuhr würdigkeit,gästeführer sehenswürdigkeiten,0.99782854
selbstständiger programmierer,selbstständiger programmierer,43423,anwendung programmiererin,anwendungsprogrammiererin,0.9978266
angehörigenpflegerin,angehörigenpflegerin,83133,heilerziehung pflegerin abi,heilerziehungspflegerin rehabilitation,0.99782586
selbstständiger unternehmer it branche,selbstständiger unternehmer it branche,11102,lohn unternehmerin wirt schaft,lohnunternehmerin landwirtschaftlich,0.9978254
it verfahr manager,it verfahrensmanager,61194,vertriebs chefin,vertriebschefin,0.9978226
parlament sekt,parlamentarischer staatssektaer,41222,sekt ion assistent,sektionsassistent,0.99782
ministerialrat,ministerialrat,71393,projekt leiterin alg ron,projektleiterin soziologie sozialgerontologie,0.99781644
promovendin,promovendin,72123,finanz disponentin,finanzdisponentin,0.99781466
studie assessor,studienassessor,73342,study nurse,study nurse,0.9978084
diplom aloe,diplom sozialoekonom,93104,diplom form gestalt,diplomformgestalter glas gefäß u keramikgest uni,0.99780816
fach wirt runge,fachwirt versicherungen,33393,meisterin runge,meisterin isolierungen,0.9978008
bäuerin,bäuerin,26301,bäumer kabel,bäumer kabel,0.9977994
selbständig dip technik,selbständig diplom ingenieur elektrotechnik,28132,umspuler garn herstellung,umspuler garnherstellung,0.9977992
selbständig hand vertreter,selbständig handelsvertreter,23293,meister setzer hand werk,meister schriftsetzerhandwerk,0.9977991
selbständig,selbständig,28122,seide stoff web,seidenstoffweber,0.9977919
staat sekret,staatssekretaer,71214,staat sekretär,staatssekretär,0.9977917
rechtsanwätin,rechtsanwätin,23112,kochwärter herstellung,kochwärter papierherstellung,0.9977887
mdb,mdbb,83314,mullah,mullah,0.9977882
soziologin,soziologin,53212,polizist,polizist,0.997783
touri mus,tourismus,82223,referentin touri mus,referentin für gesundheitstourismus,0.99778044
regierung assessor,regierungsassessor,63293,reservierung leiterin,reservierungsleiterin hotel,0.997778
referentin rechtsfrage,referentin menschenrechtsfragen,73184,rechtsreferentin,rechtsreferentin kammern verbände,0.99776936
hochschulingenieur ökonom,hochschulingenieurökonom,11104,agrar ingenieur ökonom,agraringenieurökonom,0.9977659
bio login,biologin,41284,gent loge login,gentechnologe technologin,0.9977658
selbständig fina beraterin,selbständig finanzberaterin,26312,fernmeldeentstörerin,fernmeldeentstörerin,0.9977649
prodktmanager,prodktmanager,71303,projekmanagement betriebs wirt,projekmanagementbetriebswirt fachschule,0.99776363
dgb region vorsitz,dgb regionsvorsitzender,24233,dnc maschi einrichterin,dnc maschineneinrichterin,0.99775255
ober regierung rat,oberregierungsrat,72132,regulierung beau run,regulierungsbeauftragte r versicherung,0.9977519
selbständig auto mob,selbständig automobilhändler,11711,forst schutz gehilfe,forstschutzgehilfe gehilfin,0.9977509
lithograph,lithograph,81734,patholinguist,patholinguist,0.99774796
selbständig geo politik analyst,selbständig geopolitikanalyst,72144,bank analyst geschäft,bankenanalyst kreditgeschäft,0.99774706
referentin ministerium,referentin umweltministerium nrw,93653,harmonium restauratorin,harmoniumrestauratorin,0.9977327
pädagogischer angestellter,pädagogischer angestellter,83133,pädagogische r mitarbeiterin heilpädagog einrichtungen,pädagogische r mitarbeiterin heilpädagog einrichtungen,0.99772674
diplom uri hochschule zucht,diplom ingenieurin fachhochschule tierzucht,84404,dozent hochschule,dozent volkshochschulen,0.9977258
frührentner,frührentner,28132,vorspinner,vorspinner,0.99772465
eu rentner,eu rentner,71401,haus diener,haus und gewerbediener,0.99772286
selbständig maler,selbständig maler,93422,keram glas sprit maler,keram glasspritzmaler,0.9977222
selbstständiger hand werk,selbstständiger handwerker,22393,fertigung planerin hand werk,fertigungsplanerin schreinerhandwerk,0.9977195
